Id|ExportNaarOrafin|NaamAflopend sorteren|Alternatieve naam subsidieregister
DVR000001807|False|Mentorkorting|Mentorkorting
DVR000001808|True|VOP|VOP
DVR000001809|True|Aanwervingsincentive|Aanwervingsincentive
DVR000001810|True|Transitiepremie|Transitiepremie
DVR000001811|True|GESCO|GESCO
DVR000001812|True|DAC|DAC
DVR000001813|True|Jongerenbonus|Jongerenbonus
DVR000001814|True|Startbaanovereenkomsten|Startbaanovereenkomsten
DVR000001815|False|Werkervaring|Werkervaring
DVR000001816|False|Regionale toetsing|Regionale toetsing
DVR000001817|True|ESF- subsidies|ESF- subsidies
DVR000001818|True|Aanmoedigingspremies|Aanmoedigingspremies
DVR000001819|True|Vlaams zorgkrediet|Vlaams zorgkrediet
DVR000001820|True|Ervaringsfonds|Ervaringsfonds
DVR000001821|False|Arbeidskaarten|Arbeidskaarten
DVR000001822|False|Beroepskaarten|Beroepskaarten
DVR000001823|False|Uitzendkantoren|Uitzendkantoren
DVR000001824|False|Administratieve geldboeten|Administratieve geldboeten
DVR000001825|False|Toezicht|Toezicht
DVR000001826|False|Uitvoering kwaliteitsdecreet|Uitvoering kwaliteitsdecreet
DVR000001827|False|Bestrijding discriminatie|Bestrijding discriminatie
DVR000001828|True|Betaald educatief verlof|Betaald educatief verlof
DVR000001829|True|Start- en stagebonus|Start- en stagebonus
DVR000001830|False|Ervaringsbewijs|Ervaringsbewijs
DVR000001831|True|Sociale promotie|Sociale promotie
DVR000001832|False|Opleidingscheques|Opleidingscheques
DVR000001833|True|Sectorconvenants|Sectorconvenants
DVR000001834|True|Beschutte werkplaatsen|Beschutte werkplaatsen
DVR000001835|True|Investeringssubsidies BW|Investeringssubsidies BW
DVR000001836|True|Sociale werkplaatsen|Sociale werkplaatsen
DVR000001837|False|Collectief maatwerk|Collectief maatwerk
DVR000001838|False|Individueel maatwerk|Individueel maatwerk
DVR000001839|True|Lokale diensteneconomie|Lokale diensteneconomie
DVR000001840|True|Arbeidszorg|Arbeidszorg
DVR000001841|False|SINE|SINE
DVR000001842|True|Invoegbedrijven|Invoegbedrijven
DVR000001843|True|VIA|VIA
DVR000001844|True|ERSV|ERSV
DVR000001845|True|Activiteitencooperaties|Activiteitencooperaties
DVR000001846|True|Adviespremies|Adviespremies
DVR000001847|True|Regierol|Regierol
DVR000001848|True|BNCTO / Tracé|BNCTO / Tracé
DVR000001849|True|Ondernemerschap & MVO (S)|Ondernemerschap & MVO (S)
DVR000001850|True|Ondernemerschap & MVO (OH)|Ondernemerschap & MVO (OH)
DVR000001851|True|Loopbaan en diversiteit|Loopbaan en diversiteit
DVR000001852|True|Focus op talent (S)|Focus op talent (S)
DVR000001853|True|Focus op talent (OH)|Focus op talent (OH)
DVR000001854|False|Activa-uitkeringen (uitdovend)|Activa-uitkeringen (uitdovend)
DVR000001855|False|Werkhervattingstoeslag (uitdovend)|Werkhervattingstoeslag (uitdovend)
DVR000001856|False|Doelgroepkorting Gesco's SW|Doelgroepkorting Gesco's SW
DVR000001857|False|Loopbaanonderbreking (uitdovend)|Loopbaanonderbreking (uitdovend)
DVR000001858|True|Ondersteuning tewerkstellingsbeleid (onderzoek)|Ondersteuning tewerkstellingsbeleid (onderzoek)
DVR000001859|False|Leningen hernieuwbare energie|Leningen hernieuwbare energie
DVR000001860|True|Tegemoetkoming stoffelijke schade aan voertuigen|Tegemoetkoming stoffelijke schade aan voertuigen
DVR000001861|True|Gewestwaarborg - Uitwinningen sociale leningen|Gewestwaarborg - Uitwinningen sociale leningen
DVR000001864|True|Bovenlokale projectondersteuning|Bovenlokale projectondersteuning
DVR000001867|True|Subsidies voor projecten in het kader van het asbestafbouwbeleid|Subsidies voor projecten in het kader van het asbestafbouwbeleid
DVR000001868|True|Beheersovereenkomsten plattelandsontwikkeling (omgevingskwaliteit)|Beheersovereenkomsten plattelandsontwikkeling (omgevingskwaliteit)
DVR000001869|True|Aanpak overbemesting|Aanpak overbemesting
DVR000001870|True|Plattelandsontwikkeling (omgevingskwaliteit)|Plattelandsontwikkeling (omgevingskwaliteit)
DVR000001871|True|(Her)aanleg riolering, KWZI's en IBA's|(Her)aanleg riolering, KWZI's en IBA's
