Id|NaamAflopend sorteren|nieuwe verantwoordelijke entiteit|nieuwe OVO-code verantw ent
DVR000002346|Stageovereenkomst|Vlaams Agentschap voor Ondernemersvorming - Syntra Vlaanderen|OVO000079
DVR000002347|Erkenning als ruimtelijke planner|Departement Omgeving|OVO003323
DVR000002348|Belasting op de inverkeerstelling (BIV)|Vlaamse Belastingdienst|OVO000031
DVR000002349|Premie van de netbeheerder voor dakisolatie of zoldervloerisolatie in een woning of appartement|Vlaams Energieagentschap |OVO000090
DVR000002350|Premie van de netbeheerder voor hoogrendementsglas in een woning of appartement|Vlaams Energieagentschap |OVO000090
DVR000002351|Premie van de netbeheerder voor een condensatieketel (voor beschermde afnemers)|Vlaams Energieagentschap |OVO000090
DVR000002352|Verkavelingsvergunning|Departement Omgeving|OVO003323
DVR000002353|Erkenning tot energiedeskundige type A|Vlaams Energieagentschap |OVO000090
DVR000002354|Erkenning tot energiedeskundige type C|Vlaams Energieagentschap |OVO000090
DVR000002355|Erkenning tot energiedeskundige type B|Vlaams Energieagentschap |OVO000090
DVR000002356|Erkenning van een milieuvriendelijk toeristisch bedrijf (ecolabel De Groene Sleutel)|Toerisme Vlaanderen|OVO000034
DVR000002357|Erkenning van een kampeerautovriendelijk logies|Toerisme Vlaanderen|OVO000034
DVR000002358|Vergunning van een reisbureau of toeristisch verhuurkantoor|Toerisme Vlaanderen|OVO000034
DVR000002359|Stedenbouwkundig attest|Departement Omgeving|OVO003323
DVR000002360|Kooprecht voor huurders van een sociale huurwoning|Vlaamse Maatschappij voor Sociaal Wonen|OVO000103
DVR000002361|Attest ter vervanging van een verloren diploma of getuigschrift|Departement Onderwijs en Vorming|OVO000049
DVR000002362|Arbeidsvergunning|Federale Overheidsdienst Werkgelegenheid, Arbeid en Sociaal Overleg|OVO004018
DVR000002363|Toegankelijkheidslabel voor toegankelijk logies|Toerisme Vlaanderen|OVO000034
DVR000002364|Erkenning en vergunning van diensten en voorzieningen die ondersteuning bieden aan personen met een handicap|Vlaams Agentschap voor Personen met een Handicap|OVO000060
DVR000002365|Erkenning van gidsen en reisleiders|Toerisme Vlaanderen|OVO000034
DVR000002366|Erkenning van een particuliere televisie-omroep|Vlaamse Regulator voor de Media|OVO000071
DVR000002367|Budgetmeter|Vlaamse Regulator van de Elektriciteits- en Gasmarkt|OVO000093
DVR000002368|Aanvullende verkeersbelasting voor LPG-installaties|Vlaamse Belastingdienst|OVO000031
DVR000002369|Hulplijn geweld, misbruik en kindermishandeling|Departement Welzijn, Volksgezondheid en Gezin|OVO000056
DVR000002370|Heffing op ongeschikte en onbewoonbare woningen|Vlaamse Belastingdienst|OVO000031
DVR000002371|Erkenning en subsidiëring van de Logo's (Lokaal Gezondheids Overleg)|Agentschap Zorg en Gezondheid|OVO000059
DVR000002372|Erkenning en subsidiëring van amateurkunsten|Departement Cultuur, Jeugd en Media|OVO000067
DVR000002373|Subsidie voor sensibiliserende initiatieven van de Vlaamse Gebarentaal|Departement Cultuur, Jeugd en Media|OVO000067
DVR000002374|Subsidies voor leesbevordering|Vlaams Fonds voor de Letteren|OVO000174
DVR000002375|Subsidie voor verenigingen met een specifieke opdracht voor de cultuur-, jeugdwerk- en sportsector|Departement Cultuur, Jeugd en Media|OVO000067
DVR000002376|Subsidie voor verenigingen voor culturele en sportieve participatie van gedetineerden|Departement Cultuur, Jeugd en Media|OVO000067
DVR000002377|Erkenning en subsidiëring van organisaties voor sociaal-cultureel volwassenenwerk|Departement Cultuur, Jeugd en Media|OVO000067
DVR000002378|Omgevingsvergunning voor stedenbouwkundige handelingen|Departement Omgeving|OVO003323
DVR000002379|Erkenning van een fietsvriendelijk logies|Toerisme Vlaanderen|OVO000034
DVR000002380|Betalingsrechten voor de landbouw|Departement Landbouw en Visserij|OVO000082
DVR000002381|Erkenning als MER-deskundige|Departement Omgeving|OVO003323
DVR000002382|Kennisgeving voor uitzending door een televisie-omroep|Vlaamse Regulator voor de Media|OVO000071
DVR000002383|Attesten voor jeugdwerkers|Departement Cultuur, Jeugd en Media|OVO000067
DVR000002384|Vermindering van de onroerende voorheffing voor kinderbijslaggerechtigde kinderen|Vlaamse Belastingdienst|OVO000031
DVR000002385|Vermindering van de onroerende voorheffing voor bescheiden woning|Vlaamse Belastingdienst|OVO000031
DVR000002386|Subsidie voor stages bij internationale organisaties|Departement Buitenlandse Zaken|OVO000032
DVR000002387|Subsidie voor experimenteel jeugdwerk|Departement Cultuur, Jeugd en Media|OVO000067
